region,sector,year,quarter,loan_amount
Batken oblast,Mortgage,2020,4,227.05396029231002
Batken oblast,Individuals,2020,4,918.9714696064249
Batken oblast,Other loans,2020,4,291.2896159233595
Batken oblast,Industry,2021,1,423.21683069172616
Batken oblast,"Agriculture, procurement and  processing",2021,1,2009.7541106727494
Batken oblast,Trade,2021,1,1048.423412480679
Batken oblast,Construction,2021,1,299.6426614595261
Batken oblast,Mortgage,2021,1,243.05553361877722
Batken oblast,Individuals,2021,1,924.6561345440439
Batken oblast,Other loans,2021,1,332.67152719378595
Batken oblast,Industry,2021,2,422.0692772442362
Batken oblast,"Agriculture, procurement and  processing",2021,2,2125.1597523891487
Batken oblast,Trade,2021,2,1064.5299071901993
Batken oblast,Construction,2021,2,342.1638581619383
Batken oblast,Mortgage,2021,2,270.5429258588091
Batken oblast,Individuals,2021,2,973.1621397988821
Batken oblast,Other loans,2021,2,347.089499234736
Batken oblast,Industry,2021,3,402.1781015803362
Batken oblast,"Agriculture, procurement and  processing",2021,3,2106.050250332919
Batken oblast,Trade,2021,3,1037.320566095543
Batken oblast,Construction,2021,3,355.23050459226613
Batken oblast,Mortgage,2021,3,305.9537596551972
Batken oblast,Individuals,2021,3,1134.056531175798
Batken oblast,Other loans,2021,3,338.389284757138
Batken oblast,Industry,2021,4,397.33337786
Batken oblast,"Agriculture, procurement and  processing",2021,4,2072.176981719195
Batken oblast,Trade,2021,4,1074.996263858065
Batken oblast,Construction,2021,4,329.99282868482095
Batken oblast,Mortgage,2021,4,311.27007850441
Batken oblast,Individuals,2021,4,1269.877783168178
Batken oblast,Other loans,2021,4,345.410084673653
Batken oblast,Industry,2022,1,431.35563611371
Batken oblast,"Agriculture, procurement and  processing",2022,1,2165.4925731322814
Batken oblast,Trade,2022,1,1120.0722084297702
Batken oblast,Construction,2022,1,308.866876298153
Batken oblast,Mortgage,2022,1,319.55683943364994
Batken oblast,Individuals,2022,1,1347.6552380961887
Batken oblast,Other loans,2022,1,362.049302874843
Batken oblast,Industry,2022,2,471.51843566
Batken oblast,"Agriculture, procurement and  processing",2022,2,2333.1345633673664
Batken oblast,Trade,2022,2,1146.935160928774
Batken oblast,Construction,2022,2,300.936262507513
