year,month,sector,outstanding_loans,interest_rate
2020,1,Construction ,12978.633,11.780985671603498
2020,1,Mortgage,15305.5177,13.094054100698601
2020,1,Consumer loans,16955.5566,24.0513080273047
2020,1,Social services,5129.434,11.690219368452698
2020,1,Other ,14014.0945,12.211109385269198
2020,2,Industry,11351.7078,9.887708527257901
2020,2,Agriculture,27054.9269,17.046617467223697
2020,2,Transport,3015.4295,16.9523238779086
2020,2,Сommunication,264.2068,12.3691313963153
2020,2,Trade,37650.1413,13.412320459206398
2020,2,Procurement and processing,1786.5091,7.441178132817799
2020,2,Construction ,12626.3797,11.779124181335998
2020,2,Mortgage,15469.0651,13.080643514972301
2020,2,Consumer loans,17021.1143,23.7715570406574
2020,2,Social services,5132.0778,11.7425591835338
2020,2,Other ,13933.731699999998,12.2288509586416
2020,3,Industry,12642.625600000001,9.732337940308849
2020,3,Agriculture,27579.6192,17.0517593049653
2020,3,Transport,3165.239,16.5834146331446
2020,3,Сommunication,281.08320000000003,12.1818191553248
2020,3,Trade,40474.7707,13.4340718215607
2020,3,Procurement and processing,1908.6217000000001,7.564266331562719
2020,3,Construction ,13791.5716,11.639534427751501
2020,3,Mortgage,15912.1726,12.997630737112496
2020,3,Consumer loans,17059.0923,23.594201301202897
2020,3,Social services,5816.320900000001,11.5357903180686
2020,3,Other ,15117.5475,12.000948331268699
2020,4,Industry,12621.6478,9.57843906498484
2020,4,Agriculture,27865.0368,16.8695148816383
2020,4,Transport,3112.7925,16.588629711746
2020,4,Сommunication,272.817,12.1902137696698
2020,4,Trade,39144.3775,13.429970045481
2020,4,Procurement and processing,1977.0338000000002,7.57126392275135
2020,4,Construction ,13406.3722,11.386993940985802
2020,4,Mortgage,15702.9014,12.8790922795962
2020,4,Consumer loans,16280.749399999999,23.5185500750967
2020,4,Social services,5789.6053,11.516781063469
2020,4,Other ,15090.726300000002,11.8880564991759
2020,5,Industry,12171.825499999999,9.74097535870852
2020,5,Agriculture,28737.228600000002,16.7097361301222
2020,5,Transport,3074.8231,16.628882790362802
2020,5,Сommunication,258.12100000000004,12.257500552066702
2020,5,Trade,37648.5348,13.6198602890384
2020,5,Procurement and processing,1963.2346,7.601620918355859
2020,5,Construction ,12855.501299999998,11.624829251893903
2020,5,Mortgage,15519.814600000002,12.817714862586099
2020,5,Consumer loans,16048.866600000001,23.4581513194209
2020,5,Social services,5447.7091,11.6363947309521
2020,5,Other ,14489.924300000002,12.0453479163449
2020,6,Industry,12724.4662,9.7022317602604
2020,6,Agriculture,29979.506299999997,16.5071236880575
2020,6,Transport,3084.5838,16.532473503880798
2020,6,Сommunication,262.6847,12.243706618619198
2020,6,Trade,38820.057700000005,13.583619513682498
2020,6,Procurement and processing,2009.9908000000003,7.48418527736545
2020,6,Construction ,13119.529000000002,11.673678961188298
2020,6,Mortgage,15669.8979,12.8944105399691
2020,6,Consumer loans,16415.573,23.443008461416504
2020,6,Social services,6052.080800000001,11.4605031276185
2020,6,Other ,15226.6914,12.020970715016901
2020,7,Industry,12821.766800000001,9.66483312042456
2020,7,Agriculture,30341.5596,16.3315613038889
2020,7,Transport,3091.1671,16.388608641376898
2020,7,Сommunication,259.1252,12.201618098124001
2020,7,Trade,38842.5019,13.4716585369852
2020,7,Procurement and processing,2012.2984000000004,7.379069001893559
2020,7,Construction ,13281.9104,11.697868271118601
2020,7,Mortgage,15915.6659,12.880604477315599
2020,7,Consumer loans,16255.6721,23.348679487635604
2020,7,Social services,6201.164400000001,11.390755821438999
2020,7,Other ,15362.9925,12.007369290195298
2020,8,Industry,13238.8605,9.64408689901975
2020,8,Agriculture,30574.936800000003,16.146830544290797
2020,8,Transport,3220.0317,15.860501698166496
2020,8,Сommunication,264.33910000000003,12.2167991871047
2020,8,Trade,40100.9768,13.346932921444399
2020,8,Procurement and processing,1995.8722,7.431522107978659
2020,8,Construction ,13417.5599,11.656162009532
2020,8,Mortgage,16261.898799999999,12.8003582491855
2020,8,Consumer loans,16507.63,23.5498820412137
2020,8,Social services,6243.9867,11.323106858956
2020,8,Other ,15529.348999999998,11.986456038949198
2020,9,Industry,13676.843499999999,9.39072932705562
2020,9,Agriculture,30903.997400000004,15.986942489744102
2020,9,Transport,3354.995000000001,15.453864199201497
2020,9,Сommunication,259.54630000000003,12.126760820709102
2020,9,Trade,39860.9533,13.0070474287929
2020,9,Procurement and processing,2047.269,7.41660017027562
2020,9,Construction ,13815.284399999999,10.7626034035897
2020,9,Mortgage,16567.3116,12.787190783084
2020,9,Consumer loans,17086.6314,23.522955548452902
2020,9,Social services,6264.2154,11.3193098843632
2020,9,Other ,15572.2273,11.944553818579298
2020,10,Industry,13902.7723,9.44985757595987
2020,10,Agriculture,30897.6534,15.867792236966398
2020,10,Transport,3450.3494,15.244893484120801
2020,10,Сommunication,260.4676,12.080102012688
2020,10,Trade,40135.3453,12.949738724286
2020,10,Procurement and processing,2089.4244,7.42179297561568
2020,10,Construction ,13970.8137,10.790064391739799
2020,10,Mortgage,16861.46,12.768287902886197
2020,10,Consumer loans,17093.5247,23.210031858145694
2020,10,Social services,6394.624800000001,11.3253317839696
2020,10,Other ,15756.105800000001,11.687013556166898
2020,11,Industry,14011.6906,9.408451247917219
2020,11,Agriculture,30596.884,15.8900087858947
2020,11,Transport,3520.7342000000003,15.1888716143354
2020,11,Сommunication,264.6166,12.0404203364415
2020,11,Trade,40922.3652,12.9657054630606
2020,11,Procurement and processing,2003.1336000000001,7.428399830146129
2020,11,Construction ,14037.8847,10.6993724721218
2020,11,Mortgage,17135.9409,12.721515859102901
2020,11,Consumer loans,17220.687700000002,23.1945466634878
2020,11,Social services,6504.2042,11.187917414400998
2020,11,Other ,15784.3382,11.641913488080199
2020,12,Industry,14055.1537,9.464774683324881
2020,12,Agriculture,30488.2919,15.919667622507898
2020,12,Transport,3580.2781,15.164782758635399
2020,12,Сommunication,255.9307,11.985706384579899
